Rank,Name,Assoc,Points
726,Mohammad HOSSEINI ,AFG,165
727,Jamshchid RAKHIMBERGANOV ,UZB,164
728,Niall CAMERON,SCO,164
729,Manash CHOWDHURY,BAN,164
730,Mohutasin Ahmed RIDOY ,BAN,163
731,Filip RADULOVIC,MNE,163
732,Pitiyage SILVA,SRI,162
733,Guychgeldi ALLANAZAROV,TKM,162
734,HE Chon Fai,MAC,162
735,Sanyog KAPALI,NEP,162
736,Anwer HAMEED,IRQ,162
737,Bat-Ireedui GANBAATAR,MGL,162
738,Ser-Od GANKHUYAG,MGL,162
739,LING Yi Heng Amos,MAS,162
740,Zubair SARHAN,UAE,162
741,Bilguun BAYASGALAN,MGL,162
742,Mariano LOCKWARD,DOM,162
743,NAM Seongbeen,KOR,162
744,Syahrizal Nauval Akbar MAMONTO,INA,162
745,Arfan Seina PRAMUDYA ,INA,162
746,Mohammed TAHER,IRQ,162
747,KOU CHEONG  Chak,MAC,162
748,Husain MURTADHA,BRN,162
749,Ryan Rodney JACOLO,PHI,162
750,Omar TAHER,IRQ,162
751,Hossain MOHAMADIAN ,AFG,162
752,Alyas ALYASSI,BRN,162
753,John Russel MISAL,PHI,162
754,Husam DOUFESH,PLE,162
755,Fadi MASALMA,PLE,162
756,KIM Minseok,KOR,162
757,Amar MALLA,NEP,162
758,JIANG Tianyi,HKG,162
759,Yousri ABOU SEF,PLE,162
760,Par GERELL,SWE,162
761,Payas JAIN,IND,161
762,CHENG Hao-Huan,TPE,159
763,Marko POPOVIC,SRB,159
764,Kane WATSON,JAM,159
765,Andrew BAGGALEY,ENG,159
766,Radim BAKO,CZE,158
767,HAN  Qiyao,CHN,156
768,LI Yongyin,CHN,156
769,Konstantinos ANGELAKIS,GRE,156
770,Ihor ZAVADSKYI,UKR,156
771,Jaroslaw TOMICKI,POL,156
772,HWANG Jinha,KOR,153
773,Dario ARCE,MEX,153
774,KIM Jangwon,KOR,153
775,Jonatan MCDONALD,SWE,153
776,Takumi ICHINOSE,JPN,153
777,Per SANDSTROM,SWE,153
778,Taku TAKAKIWA,JPN,153
779,DINH Quang Linh,VIE,153
780,Arthur MAS,NCL,152
781,Benjamin GOULD,AUS,150
782,Humberto MANHANI,BRA,150
783,KIM Woojin,KOR,147
784,KANG Jinho,KOR,147
785,Esteban DORR,FRA,144
786,Jordan WYKES,JEY,144
787,David VALENZUELA,CHI,144
788,David JODI,PNG,144
789,Johan BARIUS,SWE,144
790,Ricardo JIMENEZ,PUR,144
791,Gasika SEPA,PNG,144
792,Gary NUOPULA,SOL,144
793,Yvan PERROMAT,PYF,144
794,Salako OLUYOMI,NGR,144
795,Qi WANG,FIJ,144
796,Luka MATKOVIC,BIH,143
797,Ashley ROBINSON,IRL,143
798,Andre SILVA,POR,143
799,Guilherme TEODORO,BRA,141
800,Narayan KAPOLNEK,AUT,141
801,Sarun YINGYUENYONG,THA,141
802,Soroosh AMIRI NIA,IRI,141
803,Yuriy NADOLNYY,UKR,141
804,Byrone ABRAHAMS,RSA,139
805,PENG Chih,TPE,138
806,Tekalign Mogoro BULTAMO,ETH,138
807,MA  Jinbao,CHN,138
808,Taras MERZLIKIN,RUS,138
809,Dillon CHAMBERS,AUS,137
810,Azeez SOLANKE,NGR,136
811,David XU,CAN,135
812,Yimu WANG ,POL,135
813,Ameer AL-NUAIMI,IRQ,135
814,Mahdi KHATEEB,PLE,135
815,Bob LIANG,AUS,135
816,Magnus ULFARSSON,ISL,135
817,Xavier DIXON,AUS,135
818,Luke COSGRIFF,AUS,135
819,Dominic HUANG,AUS,135
820,Yutaka MATSUBARA,CHI,135
821,Samuel VON EINEM,AUS,135
822,Tomoya FUJIMURA,JPN,135
823,Fahed ALMUGHANNE,QAT,135
824,Philipp FLORITZ,BUL,135
825,MA  Lin,CHN,135
826,Patryk CHOJNOWSKI,POL,135
827,Matthew HETHERINGTON,NZL,135
828,Anthony GEMINIANI ,MON,135
829,Anirban GHOSH,IND,134
830,Orok ETIM,NGR,132
831,Issa AL-RIYAMI,OMA,132
832,Maadh AL-SHAHI,OMA,132
833,ZENG Beixun,CHN,132
834,Michael OBAYOMI,NGR,132
835,CAO Yantao,CHN,132
836,Emmanuel AUGUSTINE,NGR,132
837,Aleksandr KRASKOVSKII,RUS,132
838,Ilya ISAKOV,RUS,132
839,Vsevolod BROIAKOVSKYI,UKR,132
840,Nurudeen HASSAN,NGR,132
841,Joseph OSEDUNKWU,NGR,132
842,Hongtao CHEN,CAN,132
843,Akinwale FAGBAMILA,NGR,132
844,Ahmed BELLO,NGR,132
845,Jide OGIDIOLU,NGR,132
846,Abdulrahman ABDULLAHI,NGR,132
847,Shamusi AGBAJE,NGR,132
848,David FAYELE,NGR,132
849,Kehinde OLADELE,NGR,132
850,KIM Jangho,KOR,132
851,Sola OYETAYO,NGR,132
852,KIM Taehoon,KOR,132
853,Asad ALRAISI,OMA,132
854,Ahmed Mohamed MAHMOUD,EGY,132
855,Adeola OLORUNTADE,NGR,132
856,Radek SKALA,CZE,131
857,Victor CISSA,MDA,129
858,Eddy OMONGOLE,UGA,127
859,Mahammad Ibrahim ANSARI,AZE,126
860,Lefinitriniaia RINAULD ,MAD,126
861,Maret CAMARA,GUI,126
862,Aleksandr LUSIN,EST,126
863,Eyob Sissay ABEJE,ETH,126
864,Andemariam Okbu ELIAS,ERI,126
865,Omer AVI-TAL,PAN,126
866,Abderrazek SOUABNI,TUN,126
867,Houmed Saido MOHAMED,DJI,126
868,Floriano MASSAH,MAW,126
869,Bojan CREPULJA,SRB,126
870,Derek NYOH OFON,CMR,126
871,JANG Seongil,KOR,123
872,Bryan HO,CAN,123
873,Aviv BEN-ARI,ISR,123
874,Layan NEUMANN,MEX,120
875,Luka MARTINEK,CRO,120
876,Antoine DOYEN ,FRA,117
877,Carlos HERNANDEZ,CUB,117
878,Shemar BRITTON,GUY,117
879,Nikola STRUGAREVIC,SRB,117
880,LIU Yi,CHN,117
881,Anthony PERETTI ,FRA,117
882,Oscar BIRRIEL RIVERA,PUR,111
883,Mikhail TSYHANOUSKI,BLR,111
884,Yoan REBETEZ,SUI,111
885,Anastasios RINIOTIS,GRE,111
886,Iulian CHIRITA,ROU,110
887,Eduard IONESCU,ROU,109
888,GIL Minseok,KOR,108
889,YIU Kwan To,HKG,108
890,PARK Gyuhyeon,KOR,108
891,YU Nok,HKG,108
892,KIM Minsu,KOR,108
893,CHAN Baldwin Ho Wah,HKG,108
894,PARK Changgeon,KOR,108
895,KIM Jangwon,KOR,108
896,JANG Hanjae,KOR,108
897,JUNG Seongwon,KOR,108
898,PAU Yik Man,HKG,108
899,WOO Hyeonggyu,KOR,108
900,LEE Gihun,KOR,108
901,YANG Yechan,KOR,108
902,HU Chung-Wen,TPE,108
903,YONG Suhyeon,KOR,108
904,BAE Huicheol,KOR,108
905,Antonino AMATO,ITA,108
906,CHIN Mao-Cheng,TPE,108
907,LEUNG Ho Ching Hocking,HKG,108
908,Anders ERIKSSON,SWE,108
909,Ryan FARRELL,IRL,108
910,Adam DOSZ,POL,108
911,Adrian WIECEK,POL,108
912,Maurizio MASSARELLI,ITA,108
913,Michal BANKOSZ,POL,108
914,Eskil LINDHOLM,NOR,108
915,Anton HJORT ,SWE,108
916,Harald ANDERSSON,SWE,108
917,Luka BAKIC,MNE,108
918,Rhikesh TAUCOORY,MRI,108
919,LUO Jiajia,HKG,108
920,Jens LUNDQVIST,SWE,108
921,Fessou LAWSON-GAIZER,TOG,108
922,Andrei TSIAROKHIN,BLR,107
923,KIM Taehyun,KOR,105
924,Jose MAGALHAES,POR,105
925,David LEON,PAR,105
926,Rafael DE LAS HERAS,ESP,105
927,Arturs REINHOLDS,LAT,105
928,Benoit MAVOUNGOU,CGO,105
929,Jonas PROMBERGER,AUT,104
930,Grigore SARCANEAN,MDA,102
931,Jacobo VAHNISH,PAN,102
932,Andre Pierre KASES,AUT,102
933,XIE Congfan,CHN,102
934,GAO Yang,CHN,102
935,Michael Minh TRAN,USA,102
936,Michael BINDER,AUT,102
937,David COMELIAU,BEL,102
938,Danila TITOV,MDA,102
939,Felix COZMOLICI,MDA,102
940,CHIN Wen Jie,MAS,102
941,LI Hsin-Yang,TPE,102
942,Thomas ZILLER,AUT,102
943,SEO Hongchan,KOR,102
944,Martin RADEL,AUT,102
945,Luki Muhammad PURKANI,INA,102
946,Andrey SEMENOV,RUS,102
947,PARK Jeongwoo,KOR,102
948,TSAI Chun-Yu,TPE,102
949,JUNG Younghun,KOR,102
950,Gennadiy LEVCHENKO,UZB,102
951,Valentin NAD NEMEDI,SRB,102
952,CHEON Minhyuck,KOR,102
953,Raj MONDAL,IND,102
954,Guillermo MARTINEZ,ESP,102
955,Mohamed BANNOUT,LBN,102
956,Tarik MAHROUM ,GER,102
957,Maurice SALLAH DUSE,TOG,102
958,Usman Ishola OKANLAWON,NGR,100
959,Ingi Darvis RODRIGUEZ,ISL,100
960,Temidayo AJAYI,NGR,99
961,LIANG Guodong,CHN,99
962,JON Hyo Jung,PRK,99
963,KU Jin Ryong,PRK,99
964,Babatunde BABAFEMI,NGR,99
965,Matias OJALA,FIN,99
966,Igor BOULMO,CMR,99
967,Joshua OLADIRAN,NGR,99
968,Gustavo YOKOTA,BRA,99
969,Rilwan AKANBI,NGR,99
970,KIM Yanghyun,KOR,99
971,KIM Yongbom,PRK,99
972,LIM Chanwhan,KOR,99
973,Johan CHAVEZ,PER,99
974,Heverton GUEDES DI BRAZ,BRA,99
975,Toni SOINE,FIN,99
976,Kazeem ADENIYI,NGR,99
977,YOO Changjae,KOR,99
978,Jerzy Waclaw SIKORSKI,POL,99
979,Kreshnik MAHMUTI,KOS,98
980,Calum MORRISON,SCO,98
981,Thomas GRININGER,AUT,98
982,Kristijan STANOJKOVSKI,MKD,98
983,Armin ALICIC,BIH,98
984,Cade PETERS,RSA,97
985,Tresor NDONG NDOUTOUME,GAB,96
986,Laban Justine MSAFARI ,KEN,96
987,Zaki PEMA,KEN,96
988,Salam ISSA ,MAW,96
989,Abdourazak Abdallah BOURHAN,DJI,96
990,Melese HABTEYES,ETH,96
991,Saad ZINE EL ABIDINE,MAR,96
992,Aden FARIS,ETH,96
993,Tomas MARTINKO,CZE,94
994,Marc GUTIERREZ,ESP,93
995,Albert VILARDELL,ESP,93
996,Felipe DUFFOO,PER,93
997,Victor URENA,CRC,93
998,Cristian BARBULESCU,ROU,93
999,Gary CASTRO,NCA,92
1000,Daniel ARAYA,CRC,92
